abseil-cpp 20260526.0-2
acl 2.4.0-1
ada 3.4.4-1
adwaita-cursors 50.0-1
adwaita-fonts 50.0-1
adwaita-icon-theme 50.0-1
adwaita-icon-theme-legacy 46.2-3
aether 4.28.0-1
alacritty 0.17.0-1
alsa-card-profiles 1:1.6.8-1
alsa-lib 1.2.16.1-1
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.16.1-1
alsa-utils 1.2.16-1
aom 3.14.1-1
appstream 1.1.5-1
aquamarine 0.14.0-1
archlinux-keyring 20260727-1
argon2 20190702-6
at-spi2-core 2.60.5-1
atkmm 2.28.5-2
attica 6.28.0-1
attr 2.6.0-1
audit 4.1.4-2
autoconf 2.73-1
automake 1.18.1-1
avahi 1:0.9rc5-1
ayatana-ido 0.10.4-1
base 3-3
base-devel 1-2
bash 5.3.15-1
bash-completion 2.18.0-1
bat 0.26.1-2
bindfs 1.18.4-1
binutils 2.46+r70+g155188ea10a7-1
bison 3.8.2-8
blas 3.12.1-2
blueberry 1.4.8-2
bluetui 0.8.1-2
bluez 5.87-2
bluez-libs 5.87-2
bluez-tools 0.2.0-6
bolt 0.9.11-1
boost-libs 1.91.0-2
breeze-icons 6.28.0-1
brightnessctl 0.5.1-3
brotli 1.2.0-1
btop 1.4.7-1
btrfs-progs 7.1-1
bubblewrap 0.11.2-1
bun-prebuilt 1.3.14-1
bzip2 1.0.8-6
c-ares 1.34.8-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.126-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cairomm 1.14.6-1
cblas 3.12.1-2
cdparanoia 10.2-10
cifs-utils 7.5-1
clang 22.1.8-1
claude-code 2.1.220-1
clipnotify 1.0.2-3
clucene 2.3.3.4-17
compiler-rt 22.1.8-1
containerd 2.3.3-1
convertlit 1.8-13
coreutils 9.11-2
cpio 2.15-3
cracklib 2.10.3-1
cryptsetup 2.8.7-1
cups 2:2.4.19-1
cups-browsed 2.1.1-1
cups-filters 2.0.1-2
cups-pdf 3.0.3-1
curl 8.21.0-1
dav1d 1.5.4-1
db5.3 5.3.28-7
dbus 1.16.2-1
dbus-broker 37-3
dbus-broker-units 37-3
dbus-units 37-3
dconf 0.49.0-1
debugedit 5.3-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.41-1
diffutils 3.12-2
djvulibre 3.5.30.1-1
docker 1:29.6.2-1
docker-buildx 0.35.0-1
docker-compose 5.3.1-1
dosfstools 4.2-5
double-conversion 3.4.0-1
duktape 2.7.0-7
dust 1.2.4-2
e2fsprogs 1.47.4-1
ebook-tools 0.2.2-9
efibootmgr 18-4
efivar 39-2
elephant 2.22.0-1
elephant-bluetooth 2.22.0-1
elephant-calc 2.22.0-1
elephant-clipboard 2.22.0-1
elephant-desktopapplications 2.22.0-1
elephant-files 2.22.0-1
elephant-menus 2.22.0-1
elephant-providerlist 2.22.0-1
elephant-runner 2.22.0-1
elephant-symbols 2.22.0-1
elephant-todo 2.22.0-1
elephant-unicode 2.22.0-1
elephant-websearch 2.22.0-1
elfutils 0.195-1
ell 0.83-1
enchant 2.8.15-2
evince 1:48.4-1
exempi 2.6.6-3
exfatprogs 1.4.2-1
exiv2 0.28.8-2
expac 10-12
expat 2.8.2-1
eza 0.23.5-2
fakeroot 1:1.37.2-3
fastfetch 2.66.0-1
fcitx5 5.1.21-1
fcitx5-gtk 5.1.7-1
fcitx5-qt 5.1.14-1
fd 10.4.2-2
ffmpeg 2:8.1.2-10
ffmpegthumbnailer 2.3.0-1
fftw 3.3.11-1
file 5.48-1
filesystem 2025.10.12-1
findutils 4.11.0-1
flac 1.5.0-1
flex 2.6.4-6
fmt 12.2.0-1
fontconfig 2:2.18.2-1
freetype2 2.14.3-1
frei0r-plugins 3.2.3-2
fribidi 1.0.16-2
fuse-common 3.18.2-1
fuse2 2.9.9-5
fuse3 3.18.2-1
fzf 0.74.1-1
gavl 2.0.1-2
gawk 5.4.1-1
gc 8.2.12-1
gcc 16.1.1+r12+g301eb08fa2c5-1
gcc-libs 16.1.1+r12+g301eb08fa2c5-1
gcr 3.41.2-2
gcr-4 4.4.0.1-1
gdb 17.2-1
gdb-common 17.2-1
gdbm 1.26-2
gdk-pixbuf2 2.44.6-2
gettext 1.0-2
gexiv2 0.16.1-1
ghostscript 10.07.1-1
giflib 6.1.3-2
git 2.55.0-1
github-cli 2.96.0-1
gjs 2:1.88.1-1
glib-networking 1:2.80.1-1
glib2 2.88.2-1
glib2-devel 2.88.2-1
glibc 2.43+r22+g8362e8ce10b2-2
glibmm 2.66.9-1
glmark2 2023.01-2
glslang 1:1.4.350.1-1
glu 9.0.3-3
glycin 2.1.5-2
glycin-gtk4 2.1.5-2
gmp 6.3.0-3
gnome-autoar 0.4.5-1
gnome-bluetooth 3.34.5+r16+g61cfff1c-3
gnome-calculator 50.0-1
gnome-desktop 1:44.5-1
gnome-desktop-4 1:44.5-1
gnome-desktop-common 1:44.5-1
gnome-disk-utility 46.1-2
gnome-keyring 1:50.0-1
gnome-themes-extra 1:3.28-1
gnulib-l10n 20241231-1
gnupg 2.4.9-2
gnutls 3.8.13-2
gobject-introspection-runtime 1.86.0-2
gperftools 2.18.1-1
gpgme 2.1.2-1
gpgmepp 2.1.0-1
gpsd 3.27.5-1
gradle 9.6.1-1
graphene 1.10.8-2.1
graphite 1:1.3.15-1
greetd 0.10.3-2
greetd-agreety 0.10.3-2
grep 3.12-2
grim 1.5.0-2
groff 1.24.1-1
grub 2:2.14-1.1
gsettings-desktop-schemas 50.1-1
gsettings-system-schemas 50.1-1
gsfonts 20200910-6
gsm 1.0.24-1
gspell 1.14.4-1
gssdp 1.6.6-1
gst-plugin-gtk 1.28.5-4
gst-plugin-pipewire 1:1.6.8-1
gst-plugins-bad-libs 1.28.5-4
gst-plugins-base 1.28.5-4
gst-plugins-base-libs 1.28.5-4
gstreamer 1.28.5-4
gtest 1.17.0-2
gtk-layer-shell 0.10.1-1
gtk-update-icon-cache 1:4.22.4-1
gtk3 1:3.24.52-1
gtk4 1:4.22.4-1
gtk4-layer-shell 1.3.0-1
gtkmm3 3.24.11-1
gtksourceview4 4.8.4-2
gtksourceview5 5.20.0-1
guile 3.0.11-1
gum 0.17.0-1
gupnp 1:1.6.10-1
gupnp-dlna 0.12.0-5
gupnp-igd 1.6.0-2
gvfs 1.60.1-1
gvfs-mtp 1.60.1-1
gvfs-nfs 1.60.1-1
gvfs-smb 1.60.1-1
gzip 1.14-2
harfbuzz 14.2.1-1
harfbuzz-icu 14.2.1-1
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1
highway 1.4.0-1
hunspell 1.7.3-1
hwdata 0.409-1
hwloc 2.14.0-1
hyphen 2.8.9-1
hyprcursor 0.1.13-7
hyprgraphics 0.5.1-4
hypridle 0.1.8-1
hyprland 0.56.1-2
hyprland-guiutils 0.2.2-2
hyprland-preview-share-picker-git 0.2.1.r9.ge2f30ff-1
hyprlang 0.6.8-5
hyprlock 0.9.6-1
hyprpicker 0.4.7-2
hyprshade 5.0.0-1
hyprshot 1.3.0-4
hyprsunset 0.4.0-3
hyprtoolkit 0.5.4-4
hyprutils 0.14.0-1
hyprwayland-scanner 0.4.6-1
hyprwire 0.3.1-3
iana-etc 20260530-1
icu 78.3-1
ijs 0.35-7
imagemagick 7.1.2.29-1
imath 3.2.2-6
impala 0.7.4-1
imv 5.0.1-2
inetutils 2.8-1
iniparser 4.2.6-2
inxi 3.3.41.1-1
iproute2 7.1.0-1
iptables 1:1.8.13-1
iputils 20250605-1
iso-codes 4.20.1-1
iw 6.17-1
iwd 3.12-1
jansson 2.15.0-1
java-environment-common 3-6
java-runtime-common 3-6
jbig2dec 0.20-1
jbigkit 2.1-8
jdk21-openjdk 21.0.12.u8-1
jemalloc 1:5.3.1-2
jq 1.8.2-1
js140 140.13.0-1
json-c 0.19-1
json-glib 1.10.8-1
jsoncpp 1.9.6-3
kaccounts-integration 26.04.3-1
karchive 6.28.0-1
kbd 2.10.0-1
kbookmarks 6.28.0-1
kcmutils 6.28.0-1
kcodecs 6.28.0-1
kcolorscheme 6.28.0-1
kcompletion 6.28.0-1
kconfig 6.28.0-1
kconfigwidgets 6.28.0-1
kcoreaddons 6.28.0-1
kcrash 6.28.0-1
kdbusaddons 6.28.0-1
kddockwidgets 2.4.1-1
kdenlive 26.04.3-1
kernel-modules-hook 0.1.7-3
keyutils 1.6.3-4
kfilemetadata 6.28.0-1
kglobalaccel 6.28.0-1
kguiaddons 6.28.0-1
ki18n 6.28.0-1
kiconthemes 6.28.0-1
kio 6.28.0-1
kirigami 6.28.0-1
kitemmodels 6.28.0-1
kitemviews 6.28.0-1
kjobwidgets 6.28.0-1
kmod 34.2-1
kmscon 10.0.1-1
kmscon-terminfo 10.0.1-1
knewstuff 6.28.0-1
knotifications 6.28.0-1
knotifyconfig 6.28.0-1
kpackage 6.28.0-1
krb5 1.22.2-1
kservice 6.28.0-1
ktextwidgets 6.28.0-1
kvantum 1.1.8-1
kvantum-qt5 1.1.8-1
kwallet 6.28.0-1
kwidgetsaddons 6.28.0-1
kwindowsystem 6.28.0-1
kxmlgui 6.28.0-1
l-smash 2.14.5-4
lame 4.0-1
lapack 3.12.1-2
lazydocker 0.25.2-1
lazygit 0.63.1-1
lcms2 2.19.1-1
ldb 2:4.24.5-1
leancrypto 1.8.0-1
leptonica 1.87.0-1
less 1:704-1
libabw 0.1.4-1
libaccounts-glib 1.27-3
libaccounts-qt 1.17-2
